"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주차면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","위도","경도"
"1013181","마장동(건물) 공영주차장(구)","성동구 마장동 463-2","NW","노외 주차장","1","시간제 주차장","02-2204-7970","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","52","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-28 13:25:08","N","무료","N","무료","20000","","50","5","","","0","0","0","0","","",""
"1025695","영등포여고 공영(구)","영등포구 신길동 184-3","NW","노외 주차장","1","시간제 주차장","02-2677-1401","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","98","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-30 15:53:00","N","무료","N","무료","65000","","50","5","50","5","0","0","0","0","0","",""
"1025696","당산근린공원 공영(구)","영등포구 당산동3가 385-0","NW","노외 주차장","1","시간제 주차장","02-2677-1401","0","미연계중","190","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-30 15:22:17","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","",""
"1025697","대림운동장(구)","영등포구 대림동 780-0","NW","노외 주차장","1","시간제 주차장","02-2677-1401","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","192","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-30 15:39:15","N","무료","N","무료","65000","","50","5","50","5","0","0","0","0","","",""
"1032247","은평평화공원지하 공영주차장(구)","은평구 녹번동 153-1","NW","노외 주차장","1","시간제 주차장","02-350-5183","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","66","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2025-06-19 18:25:17","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","","",""
"1033125","압구정 428 공영주차장(구)","강남구 압구정동 428-0","NW","노외 주차장","1","시간제 주차장","02-2176-0971","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","344","Y","유료","N","야간 미개방","0900","2100","0900","2100","0900","2100","2020-07-07 18:25:48","N","무료","N","무료","200000","","400","5","400","5","0","0","0","0","","",""
"1033754","포이초교 공영주차장(구)","강남구 개포동 1273-0","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","189","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 18:09:52","N","무료","N","무료","120000","","200","5","200","5","0","0","0","0","","",""
"1037932","구로디지털단지역 공영주차장(시)","구로구 구로동 810-3","NW","노외 주차장","1","시간제 주차장","02-2290-6034","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","91","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2026-04-06 17:19:57","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","0","37.48543179","126.90124331"
"1040225","논현로22길(구)","강남구 개포동 1266-0","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","86","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2024-08-27 19:06:31","N","무료","N","무료","120000","","200","5","200","5","0","0","0","0","","",""
"1041839","신당동 공영주차장(구)","중구 신당동 300-6","NW","노외 주차장","1","시간제 주차장","02-2280-8360","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","75","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2025-05-13 16:45:08","N","무료","N","무료","175000","","250","5","250","5","0","0","0","0","0","",""
"1041840","남산동 공영주차장(구)","중구 남산동2가 30-4","NW","노외 주차장","1","시간제 주차장","02-2280-8360","2","20~120분이내 연계데이터 존재(정보수집중)","48","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2025-05-13 16:43:37","N","무료","N","무료","240000","","300","5","300","5","0","0","0","0","0","",""
"1042402","역삼1문화센터 공영주차장(구)","강남구 역삼동 829-20","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","115","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-07 18:15:30","N","무료","N","무료","280000","","400","5","400","5","0","0","0","0","","",""
"1042405","언북초교 공영주차장(구)","강남구 청담동 27-0","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","220","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 10:55:51","N","무료","N","무료","180000","","300","5","300","5","0","0","0","0","","",""
"1042406","삼성1문화센터 공영주차장(구)","강남구 삼성동 161-2","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","68","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-07 18:19:30","N","무료","N","무료","280000","","400","5","400","5","0","0","0","0","","",""
"1042410","논현초교 공영주차장(구)","강남구 논현동 168-0","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","186","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 11:14:48","N","무료","N","무료","180000","","300","5","300","5","0","0","0","0","","",""
